odd_home,odd_away,score_home,score_away
53.13,50.25,110,114
45.46,58.20,105,106
63.02,40.51,92,105
54.86,48.65,109,123
62.14,41.33,104,109
60.70,42.73,118,109
53.30,48.77,100,94
79.10,24.37,99,105
38.38,65.05,120,102
52.04,51.41,117,119
52.51,51.00,118,112
63.61,40.86,99,110
67.11,35.26,125,103
72.06,32.49,114,111
79.13,24.41,108,100
71.46,32.00,116,94
66.60,35.85,92,90
76.20,27.30,96,100
81.59,21.99,113,118
67.38,35.90,119,108
52.23,53.65,112,101
74.48,30.17,104,99
74.78,28.86,116,91
73.08,30.65,124,98
72.45,32.14,125,89
47.15,56.64,112,108
50.52,55.46,101,113
55.69,48.88,112,116
62.59,40.91,96,101
62.12,41.22,126,121
69.71,35.91,140,137
52.39,52.29,116,123
43.59,60.01,116,95
68.43,34.96,90,97
63.44,40.14,115,109
81.92,21.65,123,102
68.12,35.16,121,113
80.82,22.72,89,94
70.10,33.36,104,100
82.98,22.83,90,112
77.34,26.31,90,86
77.58,26.00,108,95
13.27,90.30,110,129
58.53,44.98,120,103
97.82,6.86,121,129
81.84,22.69,100,93
68.75,34.62,118,115
64.33,39.21,108,90
84.57,19.00,122,100
86.55,18.29,115,96
42.63,60.93,107,91
9.39,95.26,104,127
64.28,38.11,98,111
32.43,71.11,85,107
16.78,86.80,105,113
36.41,66.90,106,110
50.80,52.85,101,104
16.29,87.19,103,119
65.37,40.18,103,117
36.03,67.29,108,112
80.66,22.92,120,108
53.17,51.47,96,104
29.73,73.91,93,98
17.78,86.82,105,132
69.38,33.90,118,108
50.45,53.31,115,131
74.01,29.55,118,98
98.37,5.50,120,99
76.61,29.15,99,91
48.16,55.62,114,94
79.50,24.12,114,105
92.54,11.06,111,82
93.20,9.26,131,135
85.36,18.21,145,123
74.84,30.91,122,90
99.43,4.02,121,86
59.71,41.38,104,99
82.38,22.36,84,74
73.15,29.33,96,101
96.69,6.88,121,104
86.43,16.05,101,104
72.46,31.09,102,111
95.27,8.50,99,95
81.17,23.83,143,137
55.47,48.15,136,131
73.68,30.22,134,135
67.16,38.63,113,94
68.70,36.90,114,122
37.89,65.97,132,117
40.16,65.98,116,127
28.28,75.50,89,115
64.73,39.08,125,109
94.87,8.75,105,94
15.82,87.87,101,104
38.61,65.00,112,111
57.10,48.07,118,108
84.30,19.40,120,109
61.01,45.02,86,96
21.36,82.52,100,120
18.57,86.18,103,112
76.71,26.89,122,99
19.83,85.23,97,124
96.09,7.72,100,93
65.65,38.97,110,116
12.41,93.50,113,109
84.58,19.30,115,108
94.02,9.72,129,133
84.68,18.02,131,104
58.57,44.98,108,116
44.49,62.23,113,110
100.92,5.02,149,113
90.54,14.29,115,107
45.82,58.13,127,129
53.11,50.65,96,108
77.34,26.41,91,104
25.80,78.17,126,132
22.81,82.03,90,112
66.89,37.90,117,109
16.71,87.15,96,116
55.94,47.71,128,133
70.63,34.10,119,110
98.43,10.66,120,114
92.39,11.41,117,122
40.16,63.86,133,126
85.98,19.83,119,98
58.92,44.62,112,122
101.61,1.93,120,96
48.09,55.74,97,117
34.68,69.03,111,109
66.10,37.75,123,110
27.58,76.25,113,111
85.79,19.09,149,113
25.81,77.93,112,129
6.92,96.77,90,108
86.10,17.49,117,104
34.51,69.38,122,128
40.32,63.29,103,135
13.55,90.35,97,118
91.95,16.33,116,89
70.43,34.05,113,85
62.54,41.20,108,110
32.43,71.13,109,115
41.29,62.45,130,122
43.09,61.92,105,115
57.11,47.78,102,112
61.32,42.52,89,108
95.97,8.82,114,100
78.80,24.98,114,115
82.64,22.18,116,102
27.43,76.43,105,130
90.89,12.88,117,111
91.73,11.98,119,103
52.59,53.45,122,113
85.77,19.02,111,102
42.12,61.52,122,102
47.64,56.02,122,132
73.18,32.80,110,105
59.30,44.75,121,131
65.82,37.74,113,105
68.47,35.26,121,109
65.00,39.97,111,102
88.79,14.89,113,96
83.23,20.54,137,90
83.62,21.37,90,95
90.47,13.17,106,113
61.67,42.01,102,130
94.95,9.88,103,106
51.38,52.42,136,135
42.18,61.61,115,120
18.11,86.71,101,124
41.05,63.70,109,118
25.95,79.10,92,100
72.82,30.95,99,90
50.11,53.68,116,121
68.39,35.13,110,96
86.62,21.73,119,108
75.29,28.41,132,108
52.37,54.76,129,115
97.11,6.66,128,124
13.97,89.82,131,130
63.86,42.09,105,115
47.95,58.22,98,118
78.41,24.23,114,112
85.81,18.97,116,110
75.65,28.02,112,85
89.74,13.91,128,118
25.96,77.76,121,118
66.31,37.63,105,99
21.83,80.80,92,117
56.87,46.77,115,98
73.08,32.92,123,110
99.01,4.48,115,100
55.15,49.78,121,124
17.05,86.66,98,118
23.77,80.14,103,118
78.95,24.87,107,99
63.37,41.44,124,106
81.73,21.97,95,92
43.16,60.61,121,125
40.85,62.88,120,130
57.09,47.62,108,94
39.10,64.64,111,122
56.82,46.76,99,104
96.84,6.71,112,103
33.50,69.89,125,116
37.06,67.79,106,116
74.38,30.47,148,144
90.91,13.75,125,92
20.90,82.92,115,103
61.32,42.40,119,98
56.19,48.03,111,106
79.59,24.22,121,114
43.15,60.71,96,115
15.90,86.71,90,113
92.00,10.55,114,115
49.86,57.31,124,88
92.57,12.36,127,105
29.05,74.65,113,124
73.60,30.52,117,112
91.96,11.88,112,103
88.57,15.13,91,126
10.88,92.80,83,114
56.51,47.62,99,112
33.20,70.75,129,127
50.82,51.90,108,113
38.05,65.76,124,117
40.61,63.10,106,111
72.19,31.70,116,87
77.29,26.47,111,105
30.12,75.97,108,110
11.57,93.58,93,111
51.50,52.25,109,116
90.89,12.84,123,119
89.51,15.43,112,89
34.31,71.74,98,118
84.43,20.30,116,100
24.01,80.88,117,114
75.43,28.58,113,106
20.48,83.41,108,113
86.97,19.00,126,118
67.13,37.73,114,123
68.15,35.62,105,110
34.33,69.25,126,120
29.68,74.29,126,125
8.36,95.45,116,137
38.20,65.55,107,102
86.89,16.75,119,96
66.73,36.79,118,115
70.85,32.93,115,109
55.77,46.66,121,123
81.62,22.16,115,101
27.61,76.26,107,117
23.63,80.10,105,121
57.13,45.66,114,118
69.99,33.68,106,98
53.93,49.72,101,116
71.37,33.26,125,129
74.39,30.55,107,116
39.15,63.33,111,105
68.25,36.55,105,114
87.40,16.41,128,92
34.64,70.39,126,119
30.03,73.86,95,116
88.25,15.52,117,102
64.82,39.21,119,116
84.29,19.45,101,91
75.98,27.93,129,102
59.57,44.32,110,107
65.42,38.52,125,130
58.30,46.56,93,75
37.58,67.18,124,123
69.98,34.97,102,100
82.11,21.97,114,98
65.57,38.39,121,116
59.84,43.03,88,110
61.73,40.81,108,103
71.22,32.54,136,138
49.88,54.02,135,128
87.64,15.96,129,120
84.86,19.04,128,121
95.30,9.51,109,83
85.62,17.90,108,102
32.16,73.02,98,113
17.54,86.22,110,122
96.73,7.14,111,97
90.71,12.92,123,114
57.74,46.25,110,116
92.27,10.40,100,99
79.17,24.73,120,100
70.06,33.67,111,98
77.04,26.71,126,120
56.02,50.13,108,106
84.85,18.98,120,91
18.72,85.00,97,114
68.20,35.53,104,106
44.19,59.62,132,111
61.32,41.46,108,74
73.10,32.94,108,96
50.18,53.62,100,90
36.97,66.69,104,125
83.69,20.32,133,107
42.12,60.94,107,123
47.34,56.44,105,112
13.04,90.80,113,130
84.08,19.70,103,98
98.67,3.81,106,99
45.70,57.03,140,115
62.33,39.04,89,98
88.87,14.98,118,106
60.21,43.52,103,75
27.72,76.22,126,101
58.53,42.91,121,115
97.32,6.14,111,115
67.75,36.24,103,92
48.07,55.94,121,114
18.54,85.35,93,94
47.65,56.27,128,116
